freq	hhtyp	incgrp	unit	geo\TIME_PERIOD	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019	2020	2021	2022	2023	2024
A	TOTAL	TOTAL	PC	EU27_2020	NaN	NaN	NaN	NaN	NaN	NaN	NaN	9.9e	10.3e	11.2e	10.8e	10.4e	9.6e	9.0e	8.1e	7.6e	6.9e	7.5	6.9	9.3	10.6	NaN
A	TOTAL	TOTAL	PC	EU28	NaN	NaN	NaN	NaN	NaN	NaN	NaN	9.5	9.8	10.8	10.7	10.3	9.4	8.7	7.8	7.3	6.7e	NaN	NaN	NaN	NaN	NaN
A	TOTAL	TOTAL	PC	FI	NaN	3.3	2.6	2.4	1.1	1.9	1.3	1.4	1.8	1.5	1.2	1.5	1.7	1.7	2.0	1.7	1.8	1.8	1.3	1.4	2.6	2.7
A	TOTAL	TOTAL	PC	FR	NaN	5.9	5.3	5.9	4.6	5.3	5.5	5.7	6.0	6.0	6.6	5.9	5.5	5.0	4.9	5.0	6.2	6.7b	6.0	10.7b	12.1	NaN
A	TOTAL	TOTAL	PC	HR	NaN	NaN	NaN	NaN	NaN	NaN	NaN	8.3	9.8	10.2	9.9	9.7	9.9	9.3	7.4	7.7	6.6	5.7	5.7	7.0	6.2	4.6
A	TOTAL	TOTAL	PC	HU	NaN	NaN	17.7	14.8	10.8	9.7	8.9	10.7	12.2	15.0	14.6	11.6	9.6	9.2	6.8	6.1	5.4	4.2	5.4	4.7	7.2	6.1
A	TOTAL	TOTAL	PC	IE	3.2	3.3	4.0	3.8	3.5	3.7	4.1	6.8	6.8	8.4	10.0	8.9	9.0	5.9	4.4	4.4	5.1b	3.6b	3.4	6.8	7.2	NaN
A	TOTAL	TOTAL	PC	IS	NaN	7.4	9.3	10.5	9.1	1.0b	1.0	1.4	2.0	1.5	1.4	1.8	1.4	1.6	1.2	1.0	1.3	1.0	NaN	NaN	NaN	NaN
A	TOTAL	TOTAL	PC	IT	NaN	10.9	11.0	10.4	10.7	11.4	10.8	11.6	17.8	21.3	18.8	18.0	17.0	16.1	15.2	14.1	11.1	8.3	8.1	8.8	9.5	8.6
A	TOTAL	TOTAL	PC	LT	NaN	NaN	34.8	27.6	22.4	22.6	24.1	25.2	36.2	34.1	29.2	26.5	31.1	29.3	28.9	27.9	26.7	23.1	22.5	17.5	20.0b	NaN
A	TOTAL	TOTAL	PC	LU	1.1	0.7	0.9	0.6	0.5	0.9	0.3	0.5	0.9	0.6	1.6	0.6	0.9	1.7b	1.9	2.1	2.4	3.6b	2.5b	2.1b	2.1	3.6
A	TOTAL	TOTAL	PC	LV	NaN	NaN	29.8	25.7	20.9	16.8	16.4	19.1	22.5	19.9	21.1	16.8	14.5	10.6	9.7	7.5	8.0	6.0	4.9	7.1	6.6	4.9
A	TOTAL	TOTAL	PC	ME	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	12.4	8.6	8.6	6.3	4.5	11.2	10.3	13.2	18.0	13.9	NaN	NaN
A	TOTAL	TOTAL	PC	MK	NaN	NaN	NaN	NaN	NaN	NaN	NaN	28.8	26.7	26.8	26.4	26.1	23.4	25.7	24.0	24.9	33.1	23.8	NaN	NaN	NaN	NaN
A	TOTAL	TOTAL	PC	MT	NaN	NaN	12.6	10.8	10.2	8.8	11.1	14.3	17.6	22.1	23.9	22.3	14.1	6.6	6.3	7.6	7.8	7.2	7.8	7.6	6.8	NaN
A	TOTAL	TOTAL	PC	NL	NaN	NaN	3.1	2.2	1.6	1.8	1.3	2.3	1.6	2.2	2.9	2.6	2.9	2.6b	2.4	2.2	3.0	2.4	2.4	5.3	7.1	7.1
A	TOTAL	TOTAL	PC	NO	2.8	1.8	1.3	1.5	0.8	0.8	0.8	0.7	1.2	0.7	0.9	0.6	0.5	0.9	0.8	0.9	1.0	0.8	1.4b	2.1	2.1	2.2
A	TOTAL	TOTAL	PC	PL	NaN	NaN	33.6	28.4	22.7	20.1b	16.3	14.8	13.6	13.2	11.4	9.0	7.5	7.1	6.0	5.1	4.2	3.2	3.2	4.9	4.7	NaN
A	TOTAL	TOTAL	PC	PT	NaN	36.3	40.0	39.9	41.9	34.9	28.5	30.1	26.8	27.0	27.9	28.3	23.8	22.5	20.4	19.4	18.9	17.5	16.4b	17.5	20.8	15.7
A	TOTAL	TOTAL	PC	RO	NaN	NaN	NaN	NaN	33.3	24.4	22.1	20.1	15.6	15.0	14.7	12.9	13.1	13.8	11.3	9.6	9.3	10.0	10.1	15.2	12.5	10.8
A	TOTAL	TOTAL	PC	RS	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	18.3	17.1	15.2	13.3	13.1	10.0	10.4	10.2	9.8	9.8	9.4	NaN
A	TOTAL	TOTAL	PC	SE	NaN	1.6	1.4	2.5	1.8	1.6b	1.7	2.1	1.9	1.7	0.9	1.1	1.2	2.6	2.1	2.3	1.9	2.7	1.7	3.3	5.9	4.1
